,Actual
527,1.0999999999999999
528,1.0
531,0.8
532,0.7000000000000001
533,1.0
534,1.0
535,1.0
536,1.4000000000000001
537,1.3
538,1.4000000000000001
539,1.2
540,1.0999999999999999
541,1.0999999999999999
542,0.8999999999999999
543,1.0
544,1.0999999999999999
545,1.0999999999999999
546,1.0999999999999999
547,1.0
548,1.0
549,1.0
550,0.8999999999999999
551,0.6
552,0.6
553,0.8999999999999999
554,0.8999999999999999
555,0.6
556,0.8
557,0.8
558,0.8999999999999999
559,0.8
560,0.6
561,0.5
562,0.6
563,0.5
564,0.6
565,0.5
566,0.3
567,0.5
568,0.5
569,0.5
570,0.3
571,0.7000000000000001
572,0.5
573,1.0
574,0.5
575,0.5
578,0.3
579,0.5
580,0.5
581,0.5
582,0.5
583,0.5
584,0.2
585,0.2
586,0.2
587,0.4
588,0.5
589,0.7000000000000001
590,0.5
591,0.7000000000000001
592,0.4
593,0.8999999999999999
594,0.8
595,0.2
596,0.4
597,0.4
598,0.6
599,0.8
600,0.8
601,1.0
602,0.8
603,1.4000000000000001
604,1.2
605,0.6
606,0.8
607,1.0
608,0.6
609,1.0999999999999999
610,1.0999999999999999
611,1.0999999999999999
612,0.8999999999999999
613,0.7000000000000001
614,0.8999999999999999
615,0.4
616,1.7999999999999998
617,0.0
618,0.7000000000000001
619,0.5
620,0.7000000000000001
621,0.8999999999999999
622,0.7000000000000001
625,0.5
626,0.2
627,0.2
628,0.5
629,0.2
630,0.2
631,0.2
632,0.2
633,0.2
634,0.0
635,0.5
636,0.2
637,0.2
638,0.2
639,0.2
640,0.2
641,0.2
642,0.2
643,0.5
644,0.5
645,0.2
646,0.3
647,0.0
648,0.3
649,0.5
650,0.5
651,0.5
652,0.5
653,0.3
654,0.3
655,0.5
656,0.3
657,0.5
658,0.5
659,0.5
660,0.5
661,0.5
